"Государственная программа ""Улучшение инвестиционного климата и укрепление международных и межрегиональных связей Томской области""";100000000;61 508,9
"Подпрограмма ""Формирование благоприятного инвестиционного климата на территории Томской области""";110000000;27 533,1
"Ведомственная целевая программа ""Повышение инвестиционной привлекательности Томской области""";116000000;27 533,1
Организация коммуникативных мероприятий, направленных на повышение инвестиционной привлекательности Томской области;116000300;4 433,1
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;116000300200;4 433,1
Субсидии на возмещение части затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг в рамках реализации инвестиционных проектов;116000320;23 000,0
Иные бюджетные ассигнования;116000320800;23 000,0
Организация проверки достоверности сведений, предоставляемых инвесторами при получении государственной поддержки;116000350;100
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;116000350200;100
"Подпрограмма ""Укрепление международных и региональных связей Томской области и привлечение лучшей мировой практики""";120000000;14 394,0
"Ведомственная целевая программа ""Развитие внешних связей Томской области""";126100000;14 394,0
Международные культурные, научные и информационные связи;126100030;8 898,3
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;126100030200;8 898,3
"Членский взнос Томской области на реализацию решений и программ Совета Межрегиональной ассоциации ""Сибирское соглашение"", Координационных советов и содержание Исполнительного комитета Межрегиональной ассоциации ""Сибирское соглашение""";126100340;5 495,7
Иные бюджетные ассигнования;126100340800;5 495,7
Обеспечивающая подпрограмма;130000000;19 581,8
Руководство и управление в сфере установленных функций органов государственной власти субъекта Российской Федерации;130100000;19 581,8
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами;130100000100;17 444,6
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;130100000200;2 137,2
"Государственная программа ""Развитие инновационной деятельности и науки в Томской области""";200000000;156 679,5
"Подпрограмма ""Развитие научно-образовательного комплекса и инновационного сектора экономики Томской области""";210000000;120 874,1
"Ведомственная целевая программа ""Подготовка кадров для инновационного развития экономики региона""";216000000;13 933,7
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;216000000200;7 243,7
Социальное обеспечение и иные выплаты населению;216000000300;6 690,0
"Основное мероприятие ""Создание условий для развития и реализации научно-технического и инновационного потенциала Томской области""";218000000;8 895,8
Субсидия некоммерческой организации (за исключением государственных (муниципальных) учреждений)в целях финансовой поддержки научных исследований по проектам-победителям региональных конкурсов проектов, проводимых Администрацией Томской области с Российским фондом фундаментальных исследований;218000320;8 895,8
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;218000320600;8 895,8
"Основное мероприятие ""Представление научно-технического и инновационного потенциала Томской области в региональных, всероссийских и международных мероприятиях""";218200000;41 400,0
Реализация решений Межрегиональной Ассоциации инновационных регионов России (АИРР). Внесение ежегодного членского взноса;218200300;5 000,0
Иные бюджетные ассигнования;218200300800;5 000,0
"Проведение форума молодых ученых ""U-NOVUS""";218200310;30 000,0
Социальное обеспечение и иные выплаты населению;218200310300;2 069,0
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;218200310600;27 931,0
Продвижение результатов научно-исследовательских работ и инновационной продукции Томской области;218200320;6 000,0
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;218200320200;6 000,0
Организация и проведение деловых игр (конкурсов) в научной и инновационной сфере, в том числе Tomsk Science Game, Science Slam;218200330;400
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;218200330200;400
"Основное мероприятие ""Развитие инфраструктуры инновационного бизнеса, инновационной инфраструктуры""";218400000;56 644,6
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;218400000200;8 440,0
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;218400000600;29 160,0
"Субсидии юридическим лицам (за исключением субсидий государственным (муниципальным) учреждениям) на финансовое обеспечение затрат, возникающих при реализации мероприятия ""Привлечение потенциальных резидентов и продвижение продукции резидентов Особой экономической зоны технико-внедренческого типа ""Томск""";218400200;5 850,0
Иные бюджетные ассигнования;218400200800;5 850,0
Субсидии юридическим лицам (за исключением субсидий государственным (муниципальным) учреждениям) на финансовое обеспечение затрат, возникающих при реализации мероприятий по развитию инфраструктуры инновационного бизнеса, инновационной инфраструктуры;218400300;13 194,6
Иные бюджетные ассигнования;218400300800;13 194,6
"Подпрограмма ""Развитие инновационного территориального кластера ""Smart Technologies Tomsk""";230000000;35 805,4
"Основное мероприятие ""Мероприятия, предусмотренные программами развития пилотных инновационных территориальных кластеров""";238600000;35 805,4
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;238600000600;12 500,0
"Субсидии юридическим лицам (за исключением субсидий государственным (муниципальным) учреждениям) на финансовое обеспечение затрат, возникающих при реализации мероприятий по развитию инновационного территориального кластера ""Smart Technologies Tomsk""";238600330;23 305,4
Иные бюджетные ассигнования;238600330800;23 305,4
"Государственная программа ""Развитие предпринимательства в Томской области""";300000000;409 643,0
"Подпрограмма ""Развитие малого и среднего предпринимательства в Томской области""";310000000;154 784,7
"Основное мероприятие ""Обеспечение доступности для субъектов малого и среднего предпринимательства информационно-консультационной поддержки ведения предпринимательской деятельности""";318100000;5 697,4
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;318100000600;3 700,0
Cофинансирование расходов на реализацию мероприятий муниципальных программ (подпрограмм), направленных на развитие малого и среднего предпринимательства;318140020;1 997,4
Межбюджетные трансферты;318140020500;1 997,4
"Основное мероприятие ""Повышение конкурентоспособности субъектов малого и среднего предпринимательства за счет повышения профессионального уровня специалистов""";318200000;5 165,0
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;318200000200;647
Социальное обеспечение и иные выплаты населению;318200000300;18
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;318200000600;4 500,0
"Основное мероприятие ""Повышение уровня доступности финансовых форм поддержки субъектов малого и среднего предпринимательства""";318300000;41 609,6
Субсидии субъектам малого и среднего предпринимательства на возмещение части затрат по договорам лизинга оборудования;318300330;3 000,0
Иные бюджетные ассигнования;318300330800;3 000,0
Cофинансирование расходов на поддержку стартующего бизнеса, а также на создание и (или) развитие, и (или) модернизацию производства товаров (работ, услуг), предусмотренных в муниципальных программах (подпрограммах), содержащих мероприятия, направленные на развитие малого и среднего предпринимательства;318340030;24 751,8
Межбюджетные трансферты;318340030500;24 751,8
Государственная поддержка малого и среднего предпринимательства, включая крестьянские (фермерские) хозяйства, а также реализация мероприятий по поддержке молодежного предпринимательства (поддержка субъектов малого и среднего предпринимательства, осуществляющих деятельность в монопрофильных муниципальных образованиях и содействие развитию молодежного предпринимательства);03183R5271;13 857,8
Межбюджетные трансферты;03183R5271500;13 857,8
"Основное мероприятие ""Развитие молодежного предпринимательства""";318400000;12 800,0
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;318400000600;12 800,0
"Основное мероприятие ""Расширение международного и межрегионального сотрудничества субъектов малого и среднего предпринимательства Томской области""";318500000;4 400,0
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;318500000600;4 400,0
